이름,설명,주소,구글지도URL
제4신용합작사,디저트 카페 | 第四信用合作社,"No. 72, Zhongshan Rd, Central District",https://www.google.com/maps/search/第四信用合作社+Taichung
Phase Coffee Roasters,스페셜티 | 中山路 스페셜티,"No. 119, Zhongshan Rd, Central District",https://www.google.com/maps/search/Phase+Coffee+Roasters+台中+中山路
Hecho Cafe,감성 브런치 | 做咖啡 hecho,"No. 12, Lane 149, Sec 1, Meicun Rd, West District",https://www.google.com/maps/search/做咖啡+hecho+台中+美村路
The Factory Mojocoffee,스페셜티 | 리틀유럽 스페셜티,"精城路, West District (리틀 유럽)",https://www.google.com/maps/search/Mojocoffee+The+Factory+台中
성진커피,수플레 팬케이크 | 成真咖啡 Come True,"審計新村 내, West District",https://www.google.com/maps/search/成真咖啡+審計新村+台中
I'm Talato,젤라토 | 塔拉朵義式冰淇淋,"No. 451, Yingcai Rd, West District",https://www.google.com/maps/search/I'm+Talato+塔拉朵+Taichung
Fun inn 풍운커피,고층 전망 | 風淾咖啡 27F,"勤美 인근 고층 빌딩 27F, West District",https://www.google.com/maps/search/風淾咖啡+Fun+inn+台中
Coffee Stopover,#현지인카페 | 스페셜티 로스터리,"No. 24, Lane 217, Minquan Rd, West District (民權路217巷24號)",https://www.google.com/maps/search/Coffee+Stopover+台中+民權路
세수배전소,#현지인카페 | 細水焙煎所,"勤美 근처, West District (예약 권장)",https://www.google.com/maps/search/細水焙煎所+台中+勤美
이역 카페,#현지인카페 | 離域 Café,"審計新村 인근, West District (평일 15:00~24:00)",https://www.google.com/maps/search/離域+Café+台中+審計新村
HECHO Cafe,#현지인카페 | HECHO Cafe & Restaurant,📍 西區美村路一段133巷22號 2F (칼리그래피 그린웨이 도보 3분),https://www.google.com/maps/search/HECHO+Cafe+Restaurant+Taichung+West+District
Coffury Studio No.71,야간 카페 | 유럽풍 야간 카페,"일중가 상권 인근, North District",https://www.google.com/maps/search/Coffury+Studio+No.71+台中
REC COFFEE,고층 전망 | 26층 전망 카페,"No. 88, Sec 1, Huizhong Rd, Xitun District (CTBC 26F)",https://www.google.com/maps/search/REC+COFFEE+台中+CTBC
Café Crotchet,공중정원 뷰 | 堁夏咖啡 (오페라 6F),"National Taichung Theater 6F, Xitun District",https://www.google.com/maps/search/堁夏咖啡+台中歌劇院
VVG Theater Café,브런치 카페 | 好樣劇場咖啡,"National Taichung Theater 1F, Xitun District",https://www.google.com/maps/search/VVG+Theater+Cafe+台中歌劇院
Brewsome Coffee,인스타 감성 | MRT 난둔역 근처,Nantun District (MRT 난둔역 근처),https://www.google.com/maps/search/Brewsome+Coffee+台中+南屯
DAS kafeD,모던 카페 | 오페라 맞은편 카페,"No. 382, Dajin St, Nantun District",https://www.google.com/maps/search/DAS+kafeD+台中+南屯
Tiao Café,스페셜티 | 수이서 부두 카페,"水社碼頭 인근, Sun Moon Lake",https://www.google.com/maps/search/Tiao+Cafe+日月潭+水社
시바커피,테마 카페 | 柴犬咖啡景觀餐廳,"日月潭纜車站 인근, Yuchi Township",https://www.google.com/maps/search/柴犬咖啡+日月潭
르웨탄 아쌈 티하우스,대만차 | 日月潭 紅茶 茶館,"Sun Moon Lake area, Yuchi Township",https://www.google.com/maps/search/日月潭紅茶+茶館
