이름,검색명(중문),유형,분류,지역,주소
궁원안과,宮原眼科 Miyahara,맛집,디저트,중구·역 주변,"No. 20, Zhongshan Rd, Central District"
제4신용합작사,第四信用合作社,맛집,디저트,중구·역 주변,"No. 72, Zhongshan Rd, Central District"
제2시장,第二市場,맛집,필수 맛집,중구·역 주변,"No. 21, Sanmin Rd Sec 2, Central District"
심원춘,沁園春,맛집,필수 맛집,중구·역 주변,"No. 73, Sec 1, Taiwan Blvd, Central District"
푸딘왕 족발,富鼎旺豬腳,맛집,필수 맛집,중구·역 주변,"No. 560, Sec 1, Taiwan Blvd, Central District"
진품소식,珍品小吃,맛집,#현지인맛집,중구·역 주변,"模範街 재래시장 내, Central District"
왕예왕육갱,王爺王肉羹,맛집,#현지인맛집,중구·역 주변,"中區 三民路 일대, Central District"
춘수당 본점,春水堂 創始店,맛집,필수 맛집,서구·심계신촌,"No. 30, Siwei St, West District"
미촌점두빙,美村點頭冰,맛집,빙수,서구·심계신촌,"美村路, West District"
산동수교우육면,山東水餃牛肉麵,맛집,로컬,서구·심계신촌,"96 Gongyi Rd, West District"
수주 Shuchu,水廚 Shuchu,맛집,#현지인맛집,서구·심계신촌,"西區, West District (예약 권장)"
이중지에 야시장,一中街夜市,맛집,야시장,북구·일중가,"Yizhong St, North District"
풍미녹두사우유,豐味綠豆沙牛乳,맛집,로컬 음료,북구·일중가,일중가 상권 내
강정 13번지,港町十三番地,맛집,#현지인맛집,북구·일중가,"No. 223-1, Shuangshi Rd, North District (雙十路223號之1)"
펑지아 야시장,逢甲夜市,맛집,야시장,서둔구·오페라,"Wenhua Rd, Xitun District"
딩왕 마라훠궈,鼎王麻辣鍋,맛집,훠궈,서둔구·오페라,"No. 42, Sec 2, Gongyi Rd, Xitun District"
CHER AQUA 경다식공간,CHER AQUA · 淨茶食空間,맛집,오페라 근처,서둔구·오페라,"No. 101, Sec 2, Huilai Rd, Xitun District"
야비 키친,Yabi Kitchen 椰林,맛집,동남아,남둔구,"No. 266, Sec 2, Gongyi Rd, Nantun District"
고고가 극상계탕,GOGOGA 極上雞湯,맛집,신파중식,남둔구,"No. 438, Dajin St, Nantun District"
청선 샤브샤브,菁選涮涮鍋,맛집,#현지인맛집,남둔구,"No. 336-1, Huiwen Rd, Nantun District (惠文路336-1號)"
관지림 차오몐몐바오,官芝霖大腸包小腸,맛집,야시장 명물,fengchia,펑지아 야시장 내 (文華路 입구)
명치지파이,明治雞排,맛집,야시장 명물,fengchia,펑지아 야시장 내
이다사오 먹자골목,伊達邵老街,맛집,르웨탄 필수,르웨탄,"Yida Shao, Yuchi Township, Nantou County"
푸위안 레스토랑,富園餐廳,맛집,현지식,르웨탄,"이다사오 부두 인근, Yuchi Township"
현광사 찻잎달걀,玄光寺 阿嬤茶葉蛋,맛집,르웨탄 명물,르웨탄,"玄光寺, Sun Moon Lake"
제4신용합작사,第四信用合作社,카페,디저트 카페,중구·역 주변,"No. 72, Zhongshan Rd, Central District"
Phase Coffee Roasters,中山路 스페셜티,카페,스페셜티,중구·역 주변,"No. 119, Zhongshan Rd, Central District"
Hecho Cafe,做咖啡 hecho,카페,감성 브런치,서구·심계신촌,"No. 12, Lane 149, Sec 1, Meicun Rd, West District"
The Factory Mojocoffee,리틀유럽 스페셜티,카페,스페셜티,서구·심계신촌,"精城路, West District (리틀 유럽)"
성진커피,成真咖啡 Come True,카페,수플레 팬케이크,서구·심계신촌,"審計新村 내, West District"
I'm Talato,塔拉朵義式冰淇淋,카페,젤라토,서구·심계신촌,"No. 451, Yingcai Rd, West District"
Fun inn 풍운커피,風淾咖啡 27F,카페,고층 전망,서구·심계신촌,"勤美 인근 고층 빌딩 27F, West District"
Coffee Stopover,스페셜티 로스터리,카페,#현지인카페,서구·심계신촌,"No. 24, Lane 217, Minquan Rd, West District (民權路217巷24號)"
세수배전소,細水焙煎所,카페,#현지인카페,서구·심계신촌,"勤美 근처, West District (예약 권장)"
이역 카페,離域 Café,카페,#현지인카페,서구·심계신촌,"審計新村 인근, West District (평일 15:00~24:00)"
HECHO Cafe,HECHO Cafe &amp; Restaurant,카페,#현지인카페,서구·심계신촌,📍 西區美村路一段133巷22號 2F (칼리그래피 그린웨이 도보 3분)
Coffury Studio No.71,유럽풍 야간 카페,카페,야간 카페,북구·일중가,"일중가 상권 인근, North District"
REC COFFEE,26층 전망 카페,카페,고층 전망,서둔구·오페라,"No. 88, Sec 1, Huizhong Rd, Xitun District (CTBC 26F)"
Café Crotchet,堁夏咖啡 (오페라 6F),카페,공중정원 뷰,서둔구·오페라,"National Taichung Theater 6F, Xitun District"
VVG Theater Café,好樣劇場咖啡,카페,브런치 카페,서둔구·오페라,"National Taichung Theater 1F, Xitun District"
Brewsome Coffee,MRT 난둔역 근처,카페,인스타 감성,남둔구,Nantun District (MRT 난둔역 근처)
DAS kafeD,오페라 맞은편 카페,카페,모던 카페,남둔구,"No. 382, Dajin St, Nantun District"
Tiao Café,수이서 부두 카페,카페,스페셜티,르웨탄,"水社碼頭 인근, Sun Moon Lake"
시바커피,柴犬咖啡景觀餐廳,카페,테마 카페,르웨탄,"日月潭纜車站 인근, Yuchi Township"
르웨탄 아쌈 티하우스,日月潭 紅茶 茶館,카페,대만차,르웨탄,"Sun Moon Lake area, Yuchi Township"
