이름,설명,주소,구글지도URL
궁원안과,디저트 | 宮原眼科 Miyahara,"No. 20, Zhongshan Rd, Central District",https://www.google.com/maps/search/宮原眼科+Taichung
제4신용합작사,디저트 | 第四信用合作社,"No. 72, Zhongshan Rd, Central District",https://www.google.com/maps/search/第四信用合作社+Taichung
제2시장,필수 맛집 | 第二市場,"No. 21, Sanmin Rd Sec 2, Central District",https://www.google.com/maps/search/台中第二市場
심원춘,필수 맛집 | 沁園春,"No. 73, Sec 1, Taiwan Blvd, Central District",https://www.google.com/maps/search/沁園春+台中
푸딘왕 족발,필수 맛집 | 富鼎旺豬腳,"No. 560, Sec 1, Taiwan Blvd, Central District",https://www.google.com/maps/search/富鼎旺豬腳+台中
진품소식,#현지인맛집 | 珍品小吃,"模範街 재래시장 내, Central District",https://www.google.com/maps/search/珍品小吃+模範街+台中
왕예왕육갱,#현지인맛집 | 王爺王肉羹,"中區 三民路 일대, Central District",https://www.google.com/maps/search/王爺王肉羹+台中+中區
춘수당 본점,필수 맛집 | 春水堂 創始店,"No. 30, Siwei St, West District",https://www.google.com/maps/search/春水堂+四維街+台中
미촌점두빙,빙수 | 美村點頭冰,"美村路, West District",https://www.google.com/maps/search/美村點頭冰+台中
산동수교우육면,로컬 | 山東水餃牛肉麵,"96 Gongyi Rd, West District",https://www.google.com/maps/search/山東水餃+公益路+台中
수주 Shuchu,#현지인맛집 | 水廚 Shuchu,"西區, West District (예약 권장)",https://www.google.com/maps/search/水廚+Shuchu+台中+西區
이중지에 야시장,야시장 | 一中街夜市,"Yizhong St, North District",https://www.google.com/maps/search/一中街夜市+Taichung
풍미녹두사우유,로컬 음료 | 豐味綠豆沙牛乳,일중가 상권 내,https://www.google.com/maps/search/豐味綠豆沙牛乳+一中街+台中
강정 13번지,#현지인맛집 | 港町十三番地,"No. 223-1, Shuangshi Rd, North District (雙十路223號之1)",https://www.google.com/maps/search/港町十三番地+台中+北區雙十路
펑지아 야시장,야시장 | 逢甲夜市,"Wenhua Rd, Xitun District",https://www.google.com/maps/search/逢甲夜市+Fengjia+Night+Market
딩왕 마라훠궈,훠궈 | 鼎王麻辣鍋,"No. 42, Sec 2, Gongyi Rd, Xitun District",https://www.google.com/maps/search/鼎王麻辣鍋+台中+公益路
CHER AQUA 경다식공간,오페라 근처 | CHER AQUA · 淨茶食空間,"No. 101, Sec 2, Huilai Rd, Xitun District",https://www.google.com/maps/search/CHER+AQUA+淨茶食+台中+惠來路
야비 키친,동남아 | Yabi Kitchen 椰林,"No. 266, Sec 2, Gongyi Rd, Nantun District",https://www.google.com/maps/search/Yabi+Kitchen+台中+公益路
고고가 극상계탕,신파중식 | GOGOGA 極上雞湯,"No. 438, Dajin St, Nantun District",https://www.google.com/maps/search/GOGOGA+極上雞湯+台中
청선 샤브샤브,#현지인맛집 | 菁選涮涮鍋,"No. 336-1, Huiwen Rd, Nantun District (惠文路336-1號)",https://www.google.com/maps/search/菁選涮涮鍋+台中+惠文路
관지림 차오몐몐바오,야시장 명물 | 官芝霖大腸包小腸,펑지아 야시장 내 (文華路 입구),https://www.google.com/maps/search/官芝霖大腸包小腸+逢甲
명치지파이,야시장 명물 | 明治雞排,펑지아 야시장 내,https://www.google.com/maps/search/明治雞排+逢甲夜市
이다사오 먹자골목,르웨탄 필수 | 伊達邵老街,"Yida Shao, Yuchi Township, Nantou County",https://www.google.com/maps/search/伊達邵老街+日月潭
푸위안 레스토랑,현지식 | 富園餐廳,"이다사오 부두 인근, Yuchi Township",https://www.google.com/maps/search/富園餐廳+日月潭
현광사 찻잎달걀,르웨탄 명물 | 玄光寺 阿嬤茶葉蛋,"玄光寺, Sun Moon Lake",https://www.google.com/maps/search/玄光寺+日月潭
